file,tags
How are push notifications created and handled in PWAs,frontend-webapp
How can you make website feel like a native app,frontend-webapp ux-ui-design
How long before we stop reading the code,code-review comprehension-debt
How to Build a Pseudocode Runner with AI,agent-testing code-quality
"How to Build an E2E Web Testing Agent with Claude - No Selectors, No Scripts, No Frameworks",agent-testing browser-automation
How to Get Clawdbot Set Up in an Afternoon,voice-ai
How to Harness Coding Agents With the Right Infrastructure,context-engineering harness-engineering
How to Implement a Successful Master Data Management Strategy,mdm-governance
How to Make Your OpenClaw Agent Useful and Secure,agent-memory alt-agents claude-md
How to Run Local LLMs with Claude Code,alt-agents local-llm
How to Sanitize User Input in React to Prevent Injection Attacks,frontend-webapp web-security
How to Sync Your Obsidian Vault Across Multiple Devices for Free,pkm-obsidian
How to build a skills library for your engineering team,agent-skills
How to build your seed round pitch deck YC Startup Library Y Combinator,product-management startup
How to measure Claude Code ROI Developer productivity insights with Faros,claude-code-ops dora-metrics observability
How we use Claude Agents to automate test coverage,agent-testing code-quality
Hugo Pod,non-content
HugoRoberto 2.0,non-content
I Built 63 Design Skills For Claude - and They're Free,agent-skills ux-ui-design
I Improved 15 LLMs at Coding in One Afternoon. Only the Harness Changed.,code-quality harness-engineering
I Replaced $90Month in AI Coding Tools With 3 Free GitHub Repos. Here's the Exact Setup.,agent-memory agent-skills cost-optimization
I Thought DGX Spark Was Slower… Until I Changed ONE Thing,local-llm
"I built Claude's Dreams feature myself using Mem0 and Codex, and it changed how I code",agent-memory
"I built a coding agent that gets 87% on benchmarks with a 4B parameter model, here's how",alt-agents cost-optimization
"I ditched Claude Code and OpenCode for Pi, and my coding workflow became predictable again",alt-agents token-efficiency
I learned a productivity system for organizing life,productivity
"I tested 3 tiny local LLMs for everyday work, and only one of them impressed me",evals local-llm
I was tired of AI coding agents breaking my projects. Here is the Harness framework that fixed it.,context-engineering harness-engineering
Improving Performance with HTTP Streaming,frontend-webapp
Instant Startup Valuations Based on Live Market Data,startup
Introducing Beads A coding agent memory system,agent-memory
Introducing visual-plan - rich plans for Claude Code + Codex,agent-skills
Introduction to Domain-Driven Design (DDD) in Insurance,ddd
Is There A Right Way To Write User Stories,product-management
Is There a Cure for Arthritis,health
JavaScript,frontend-webapp
Jira and Linear are legacy software,ai-industry
Joel Spolsky on Equity for Startups · GitHub,startup
Karpathy Just Told Us What Startups To Build For 2026,ai-industry
Karpathy's Skill Just Fixed Claude Code's Biggest Problem,agent-skills claude-md
Keep your coding agent on task with mutation testing,agent-testing code-quality
Kobo 2.0 Sync is Here 📕 🔁,pkm-obsidian
Komplett Guide Till Att Sälja Bostad Utan Mäklare,real-estate
"Legit-Controlmonorepo A Git based Version control system for AI agents to make them safe, reliable collaborators.",agent-git
Let Claude use your computer from the CLI,browser-automation claude-code-ops
Linas Beliūnas' Post,ai-industry startup
Loading skill…,agent-memory context-engineering
Luke Alvoeiro The Bottleneck in Coding Is No Longer AI — It's Human Attention,comprehension-debt harness-engineering
MCP Security Is a Mess 5 Ways I Broke My Own AI Agent,mcp web-security
MCP vs CLI Two Ways to Let AI Take Action (and Why It Matters),mcp
MDM Survivorship How to Choose the Right Record,mdm-governance
MIT Explains the 12 Possible Endings for AI,ai-industry
Make videos programmatically.,non-content
Managing Comprehension Debt How to Stop Shipping AI Code You Don't Understand,comprehension-debt code-quality
Mapping Business Capabilities to Services,ddd
Master Data Management (MDM),mdm-governance
Master Data Management A Strategic Imperative for Enterprise Data Governance,non-content
Master Data Management Best Practices How to Do It Right,mdm-governance
Master Data Management in a distributed landscape,mdm-governance data-engineering
Master data management strategy The key to getting more from your data,mdm-governance
Matteo Collina's Post,code-review code-quality
Medical Research at the Johns Hopkins Arthritis Center,health
Microsoft accidentally told the truth about AI,ai-industry comprehension-debt
Mitko Vasilev's Post,web-security ai-industry
Multica The Open Source Tool That Makes Claude Code 10x Better,alt-agents harness-engineering agent-skills
Must-Have UXUI Design Skills for Claude Code,ux-ui-design alt-agents
My Claude Code Now Has Its Own Second Brain in Obsidian,pkm-obsidian claude-code-ops
My Favorite Books for DevOps Engineering,non-content
My MDM Framework,mdm-governance
My Simple Productivity System (for normal people)!,productivity
My Telescope for Claude,mcp claude-code-ops
Never Forget A Task or To-Do Again - Obsidian Reminders,pkm-obsidian productivity
New AI coding paradiagm - OpenAI Symphony,alt-agents harness-engineering agent-git
Nordic.js 2025 •Tobias Ahlin - Finding Signal in the AI Noise,multi-agent harness-engineering
Obsidian As A Second Brain The ULTIMATE Tutorial,pkm-obsidian
Oliver Molander's Post,startup
Open Design is Here The Open-Source Claude Code Design Alternative,alt-agents ux-ui-design
Open source voice ai that scales linearly in production at 110th of Vapi's cost,voice-ai cost-optimization
OpenAI Just Showed Us What Comes After the Harness. Here's The Layer Almost Everyone's Missing.,harness-engineering multi-agent agent-git
OpenClaw Is Changing My Life,alt-agents harness-engineering
OpenClaw Setup Guide 25 Tools + 53 Skills Explained,alt-agents agent-skills mcp
OpenCode has been a gamechanger!,alt-agents cost-optimization
Osteoarthritis and bouldering,health
"PI Agent Revolution Building Customizable, Open-Source AI Coding Agents That Outperform Claude Code",alt-agents harness-engineering code-quality
Panel Does AI lead us back to a beautiful document based waterfall approach,spec-driven-dev comprehension-debt
Parallel AI Coding with Git Worktrees and Custom Claude Code Commands,agent-git claude-code-ops harness-engineering
"Parse, don't validate",software-patterns code-quality
Pattern Saga,software-patterns clean-architecture
Perplexity Open-Sourced a Scanner Every Dev Should Know (Bumblebee),web-security code-quality
Pi The Minimal Agent Within OpenClaw,alt-agents harness-engineering
Pi to Pi Two-Way Agent Orchestration with the Pi Coding Agent,alt-agents multi-agent harness-engineering
Playing Nicely With Git Worktrees And DevContainers,agent-git
Practical Guide to Evaluating and Testing Agent Skills,agent-skills evals agent-testing
Programming as Theory Building · GitHub,software-patterns comprehension-debt
Prompting & Context Engineering,context-engineering token-efficiency cost-optimization
Publish App Google Play Store AI Guide Complete Walkthrough,frontend-webapp
Quantifying Productivity,observability productivity
Qwen3 235b-A22b on a Windows Tablet @ ~11.1tS on AMD Ryzen AI Max 395+ 128GB RAM,local-llm
Reader Frequently Asked Questions,non-content
Real Estate Agents Are Wasting 20 Hours a Week. Here's How I Fix It for Them,productivity
Regenerative Medicine Helping the Body Heal Itself,health
Relationships Between Bounded Contexts in DDD-2,ddd clean-architecture
Relationships Between Bounded Contexts in DDD,ddd
"Replacing 12K LoC with a 200 LoC Skill — David Gomes, Cursor",alt-agents agent-skills code-quality
Rethinking AI Agents The Rise of Harness Engineering,harness-engineering
Rethinking Domain Layer Folder Structure for Clean Architecture,clean-architecture ddd
Run AI with an API.,alt-agents
Running AI Coding Agents From My Phone (it's getting out of hand),alt-agents claude-code-ops observability
SEMAG Self-Evolutionary Multi-Agent Code Generation,multi-agent cost-optimization code-quality
Scalp Psoriasis Treatment Breakthroughs New Options for 2026–2027,non-content
Scientists Test New Ways To Regrow Joints Damaged by Arthritis,health
Scrapling The Web Scraper That Repairs Itself,browser-automation
Semantic vs Heuristic Code Graphs for AI Agents,code-intelligence context-engineering
Shared Goals for Event Sourcing and Change Data Capture,data-engineering
Shortcut for toggling between different windows of same app,non-content
Should we use custom exceptions in Python,code-quality software-patterns
Sign in to your account-2,non-content
Sign in to your account,non-content
Slack Reminders for Assigned Reviewers with Pending Questionnaire Work,non-content
So I stumbled across this prompt hack a couple weeks back and honestly I wish I could unlearn it.,code-review code-quality
Spec-driven development,spec-driven-dev
"Stacked PRs, Worktrees, and Git Exercises for Agentic Development",agent-git
Startup Playbook,startup
State of Play AI Coding Assistants,alt-agents context-engineering code-quality
Stop Bloating Your CLAUDE.md Progressive Disclosure for AI Coding Tools,claude-md token-efficiency context-engineering
Stop Building Subagents. Start Writing Skills.,agent-skills token-efficiency
Stop Fighting Claude Code's Permission Prompts — Here's How the System Actually Works,claude-code-ops web-security
Stop Wasting Tokens A Smarter Alternative to JSON for LLM Pipelines,token-efficiency
Stop Writing Rules in AGENTS.md Use Agent Hooks and Nano-Staged Instead,claude-md code-quality harness-engineering
"Stop babysitting your agents... — Brandon Walsenuk, Unblocked",context-engineering harness-engineering
Strategies to Manage the Context Bloat,context-engineering token-efficiency
Strengthening the Inner Developer Loop Turn AI Into a Reliable Engineering Partner,code-quality observability
Sunny mornings,non-content
Sälja Utan Mäklare,real-estate
Tactical Agentic Coding Course,harness-engineering alt-agents
Taking Frontend Architecture Serious with dependency-cruiser,code-quality frontend-webapp
Testing Agent Skills Systematically with Evals OpenAI Developers,evals agent-skills
The 7 Most Powerful Moats For AI Startup YC Startup Library Y Combinator,startup ai-industry
The AI Strategy Playbook For Senior Executives,ai-industry
The AI Vampire,productivity
The AI code review checklist that prevents the next $1M production incident,code-review code-quality
The Constraints of Traditional Test Impact Analysis,agent-testing dora-metrics
The Final Bottleneck,comprehension-debt code-review
The Flat Curve Society,ai-industry llm-fundamentals
The Future of AI 60+ Agents Collaborating in Real Time.,multi-agent cost-optimization
The Future of MCP — David Soria Parra,Anthropic
The RACI Matrix Your Blueprint for Project Success,product-management
The Rise of Obsidian as a Second Brain,pkm-obsidian
The Weekly,non-content
The backend building blocks for your agents,harness-engineering code-quality
The basics of software coupling metrics and concepts,clean-architecture software-patterns
The comprehensive guide to making your web app feel native,frontend-webapp ux-ui-design
The hidden technical debt of agentic engineering,comprehension-debt observability harness-engineering
The package manager for agent skills and context,agent-skills token-efficiency
They Lied to You About AI (This Study Proves It),llm-fundamentals ai-industry
Thinking in Threads,harness-engineering multi-agent
This Chrome DevTools MCP Trick Will Blow Your Mind,browser-automation mcp
This Simple File Beats Every AI Coding Tool's Defaults,code-quality alt-agents claude-code-ops
This Tool Fixes AI Coding at Scale with 70x Fewer Tokens (Graphify),code-intelligence token-efficiency cost-optimization
This is insane…,agent-memory multi-agent harness-engineering
Top 8 Claude Skills for UIUX Engineers,agent-skills ux-ui-design frontend-webapp
"Transforming Legacy With Domain-Driven Design, III Tactic",ddd clean-architecture software-patterns
"Transforming Legacy with Domain-Driven Design, II Strategy",ddd clean-architecture
"Two old GPUs I salvaged are doing more AI work than a brand new $2000 card, and I won't be upgrading anytime soon",local-llm
Typical TypeScript Clean Architecture,clean-architecture software-patterns
UI Components,ux-ui-design frontend-webapp
UX UI tips A guide to creating buttons,ux-ui-design frontend-webapp
"Understanding Epics, Features, And User Stories",product-management software-patterns
"Understanding Spec-Driven-Development Kiro, spec-kit, and Tessl",spec-driven-dev harness-engineering
Understanding clean architectures,clean-architecture software-patterns
Unnamed board,non-content
Update July 2023,non-content
Using GraphViz for CLAUDE.md,claude-md harness-engineering
Vibe coding and agentic engineering are getting closer than I’d like,alt-agents harness-engineering code-quality comprehension-debt
Visualize TypeScript Dependencies of Changed Files in a Pull Request Using dependency-cruiser-report-action,code-quality code-review observability
Voice agent skills for coding assistants,voice-ai agent-skills
"VoltAgentawesome-agent-skills A curated collection of 1000+ agent skills from official dev teams and the community, compatible with Claude Code, Codex, Gemini CLI, Cursor, and more.",agent-skills alt-agents
"Wasserman, Noam - The Founder's Dilemmas_ Anticipating and Avoiding the Pitfalls That Can Sink a Startup.pdf",non-content
We Automated Our AI Review Loop and It Failed 86% of the Time,code-review harness-engineering multi-agent
WebMCP — The Web Just Got a Bit Smarter (Whether It Wanted To or Not),mcp browser-automation web-security
What AI augmentation means for technical leaders – Birgitta Boeckeler,harness-engineering context-engineering code-quality multi-agent
What Does Democratizing Data Mean Unlocking the Power of Data Cultures,mdm-governance data-engineering
What Makes a Good Agent Skill (And How to Know Before You Deploy It),agent-skills evals token-efficiency
What Makes a WebApp Feel Native,frontend-webapp ux-ui-design
What has everyone been building with agentic workflows in a corporate setting,harness-engineering code-review agent-testing multi-agent
What is AI Harness Engineering Your Guide to Controlling Autonomous Systems,harness-engineering
What is the difference between the Facade and Adapter Pattern,software-patterns ddd
What’s Your Current Best AI Voice Agents Stack,voice-ai harness-engineering
When Claude Code's Browser Plugin Wasn't Enough A Journey to Reliable Browser Automation with…,browser-automation claude-code-ops harness-engineering
Whirlpool Process of Model Exploration,software-patterns ddd
Why Claude Code Forgets What It Was Doing (And How to Fix It),claude-code-ops agent-memory context-engineering
Why Everyone Is Wrong About the AI Bubble,ai-industry llm-fundamentals
Why You Don't Need the Nuxt MCP When You Use Claude Code,mcp context-engineering token-efficiency
Why agent harnesses fail inside cloud-native systems,harness-engineering observability agent-testing
Why is estimation part of refinement and not sprint planning,product-management software-patterns
Why we’re moving from Cursor to Claude Code (and why you should too),alt-agents claude-code-ops
Working on Multiple Branches Without Losing My Mind,agent-git claude-code-ops harness-engineering
Writing tests with Claude Code - part 1 - initial results,agent-testing code-quality evals
Yann LeCun's Billion Dollar Bet,llm-fundamentals ai-industry
You can only do real estate 7 hours a day. How do you use those hours,non-content
You don't need an expensive GPU to run a local LLM that actually works,local-llm
Your AI Budget Is Growing. Your Returns Aren't. Here's Why.,cost-optimization observability
Your Clean Architecture is still layered!,clean-architecture software-patterns
Your voice is the only AI moat that compounds. Here is how to clone it into Claude in a weekend,voice-ai
Your whole app inside iframe. And it works.,spec-driven-dev web-security
agent-skillsskillsread-only-postgres at main · jawwadfirdousiagent-skills · GitHub,agent-skills harness-engineering web-security
agent-stuffskillsweb-browserSKILL.md at main · mitsuhikoagent-stuff · GitHub,agent-skills harness-engineering
browser-usebrowser-use 🌐 Make websites accessible for AI agents. Automate tasks online with ease.,browser-automation frontend-webapp harness-engineering
"caliber-ai-orgai-setup Continuously sync your AI setups with one command. Codebase tailor suited agent skills, MCPs and config files for Claude Code, Cursor, and Codex.",agent-skills alt-agents claude-code-ops harness-engineering mcp
"can1357oh-my-pi ⌥ AI Coding agent for the terminal — hash-anchored edits, optimized tool harness, LSP, Python, browser, subagents, and more",agent-memory browser-automation harness-engineering
code-quality-metricsmeasuring-ai-code-drift-using-github-metrics.md at main · stride-nyccode-quality-metrics,code-quality code-review comprehension-debt dora-metrics spec-driven-dev startup
confident-aideepeval The LLM Evaluation Framework,agent-testing evals
davebcn87pi-autoresearch Autonomous experiment loop extension for pi,code-review harness-engineering observability
dependency-cruiserdocreal-world-samples.md at main · sverweijdependency-cruiser,comprehension-debt
dislerpi-vs-claude-code Comparison between open source PI agent and closed source Claude Code agent,non-content
"dynaptikcrispy CRISPY (how QRSPI sounds to me phonetically) is a multi-agent orchestration plugin for agentic AI coding. It implements an 8-phase state machine based on the QRSPI methodology (Question, Research, Structure, Plan, Implement).",agent-testing harness-engineering multi-agent spec-driven-dev
"emilybacheTheatrical-Players-Refactoring-Kata Example from first chapter of 'Refactoring' by Martin Fowler, with tests and translations",agent-testing software-patterns
firstloophqclaude-code-test-runner An automated E2E natural language test runner built on Claude Code,agent-testing claude-code-ops frontend-webapp
httpswww.google.comsearchq=v8+idolate&oq=v8+idolate+&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIJCAEQABgNGIAEMggIAhAAGA0YHjIICAMQABgNGB4yCAgEEAAYDRgeMggIBRAAGA0YHjIICAYQABgNGB4yCAgHEAAYDRgeMggICBAAGA0YHjIICAkQABgNGB4yCggKEAAYChgNGB4yCggLEAAYBRgNGB4yCggMEAAYBRgNG,non-content
jbrainstrivia Legacy Code Retreat - Trivia Game codebase,agent-testing software-patterns
mattpocockskills Skills for Real Engineers. Straight from my .claude directory.,agent-skills harness-engineering
medium.com,non-content
monorepoexampleslegit-code at main · Legit-Controlmonorepo · GitHub,code-review
"multica-aiandrej-karpathy-skills A single CLAUDE.md file to improve Claude Code behavior, derived from Andrej Karpathy's observations on LLM coding pitfalls.",claude-code-ops claude-md observability
"multica-aimultica The open-source managed agents platform. Turn coding agents into real teammates — assign tasks, track progress, compound skills.",agent-skills harness-engineering multi-agent
"nedcodes-okrule-porter Convert AI IDE rules between Cursor, Windsurf, CLAUDE.md, AGENTS.md, and Copilot. Bidirectional. Zero dependencies.",alt-agents claude-md harness-engineering
nextlevelbuilderui-ux-pro-max-skill An AI SKILL that provide design intelligence for building professional UIUX multiple platforms,ux-ui-design
